Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course,Placement(Y/N)?,Required job role ,
payal_roy79@gmail.com,Payal Roy,Female,State Board,96.7,CBSE,70.2,Artificial Intelligence and Data Science,7.37,No,Yes,2,No,3,2,Not Placed,Data Analyst,
shreyoshi_dey13@gmail.com,Shreyoshi Dey,Female,WBBSE,96.2,WBCHSE,90.6,Artificial Intelligence and Machine Learning,9.35,No,No,0,Yes,4,2,Placed,Machine Learning Engineer,
rohan_nandi12@gmail.com,Rohan Nandi,Male,State Board,97.5,CBSE,69.6,Information Technology,7.84,No,Yes,0,Yes,3,4,Placed,Cloud Engineer,
smita_agarwal90@gmail.com,Smita Agarwal,Female,CBSE,96.9,Other state Board,77.6,Artificial Intelligence and Data Science,7.87,Yes,No,0,Yes,2,2,Not Placed,Data Analyst,
samaira_singhania95@gmail.com,Samaira Singhania,Female,ICSE,99.1,CBSE,62.8,Information Technology,9.26,Yes,Yes,0,Yes,1,2,Not Placed,Cloud Engineer,
rakeshdeyrlo@gmail.com,Rakesh Dey,Male,CBSE,85.5,CBSE,86,Artificial Intelligence And Machine Learning,9.2,Yes,No,0,Yes,2,1, Not Placed,AI Engineer,
dheeraj_thakur88@gmail.com,Dheeraj Thakur,Male,State Board,98.2,CBSE,83.4,Computer Science ,8.83,Yes,Yes,0,Yes,2,2,Placed,Full Stack Developer,
dharmikc22@gmail.com,Dharmik Chsuhan Chauhan,Male,State Board,79.4,Diploma,82.1,Artificial Intelligence and Data Science,7.52,Yes,No,1,Yes,3,3,Not Placed,Business Analyst,
suman_sen68@gmail.com,Suman Sen,Male,WBBSE,88,Other state Board,83.2,Cyber Security Engineer,7.06,No,No,0,Yes,3,4,Placed,Cyber Security Analyst,
sneha_pal5@gmail.com,Sneha Pal,Female,CBSE,84.3,CBSE,70.9,Artificial Intelligence and  Machine Learning,7.34,No,No,0,No,3,2,Placed,Data Analyst,
mukesh_mandal71@gmail.com,Mukesh Mandal,Male,ICSE,84.1,Other state Board,67.9,Computer Science,7.12,No,No,0,No,1,2,Not Placed,Machine Learning Engineer,
shreya_shukla17@gmail.com,Shreya Shukla,Female,State Board,97.8,ISE,95,Information Technology,8.87,Yes,Yes,0,Yes,4,2,Placed,Cloud Engineer,
pranab_bhattacharya30@gmail.com,Pranab Bhattacharya,Male,ICSE,83,CBSE,79.8,Artificial Intelligence and  Machine Learning,7.13,Yes,No,0,No,4,3,Placed,Data Analyst,
mita_pal33@gmail.com,Mita Pal,Female,CBSE,78.5,Other state Board,62,Artificial Intelligence and Data Science,7.18,Yes,Yes,1,Yes,1,3,Not Placed,Business Analyst,
kunal_bhowmick27@gmail.com,Kunal Bhowmick,Male,WBBSE,95.9,CBSE,73.2,Computer Science,9.14,Yes,Yes,0,Yes,1,1,Not Placed,Software Developer,
amit_dey53@gmail.com,Amit Dey,Male,WBBSE,75,Other state Board,68.9,Information Technology,7.58,No,No,0,Yes,4,4,Placed,Cloud Engineer,
mita_bardhan92@gmail.com,Mita Bardhan,Female,WBBSE,89.8,CBSE,88.6,Computer Science ,7.66,Yes,Yes,1,Yes,5,3,Not Placed,Full Stack Developer,
chatterjeenaitik@gmail.com,Naitik Chatterjee,Male,ICSE,93.6,WBCHSE,87.6,Computer Science,8.92,Yes,No,0,No,3,2,Placed,Software Developer,
debanshu_sen11@gmail.com,Debanshu Sen,Male,CBSE,87.4,ISE,80.2,Information Technology,7.17,Yes,Yes,1,No,4,1,Placed,Cloud Engineer,
meyenka_rao10@gmail.com,Meyenka Rao,Female,WBBSE,96.3,CBSE,78,Artificial Intelligence and Data Science,7.51,No,Yes,0,Yes,1,3,Not Placed,Business Analyst,
prakash_singh58@gmail.com,Prakash Singh,Male,State Board,82.4,Other state Board,77.3,Information Technology,8.97,No,Yes,0,Yes,2,2,Placed,Cloud Engineer,
nayanika_choudhury99@gmail.com,Nayanika Choudhury,Female,ICSE,87.6,ISE,88.9,Artificial Intelligence and Data Science,8.79,No,No,0,No,4,2,Placed,Business Analyst,
ayush_kumar_singh91@gmail.com,Ayush Kumar Singh,Male,ICSE,76.9,CBSE,68.2,Artificial Intelligence and Data Science,8.1,Yes,Yes,0,Yes,5,3,Placed,Business Analyst,
rahul_yadav53@gmail.com,Rahul Yadav,Male,ICSE,72.8,Other state Board,87.2,Artificial Intelligence and Data Science,7.08,No,No,2,No,4,2,Not Placed,Business Analyst,
anisha_mitra38@gmail.com,Anisha Mitra,Female,State Board,98.2,CBSE,68.1,Artificial Intelligence and Data Science,7.79,No,Yes,0,Yes,1,3,Not Placed,Data Analyst,
shreya_choudhury19@gmail.com,Shreya Choudhury,Female,WBBSE,89.3,CBSE,71.2,Cyber Security Engineer,7.78,Yes,Yes,0,Yes,1,4,Placed,Cyber Security Analyst,
kaushik_bhowmick78@gmail.com,Kaushik Bhowmick,Male,CBSE,90.2,CBSE,77.2,Artificial Intelligence and Data Science,7.22,No,No,0,Yes,1,4,Placed,Data Analyst,
naira_patel62@gmail.com,Naira Patel,Female,WBBSE,77.9,CBSE,80.1,Computer Science,8.84,Yes,Yes,0,No,4,2,Placed,Software Developer,
mita_yadav64@gmail.com,Mita Yadav,Female,WBBSE,98.5,Other state Board,84.2,Information Technology,9.37,Yes,No,0,Yes,4,1,Placed,Cloud Engineer,
aparna_mishra16@gmail.com,Aparna Mishra,Female,WBBSE,72.2,WBCHSE,93.7,Computer Science,8.98,Yes,Yes,0,No,5,2,Placed,Cloud Engineer,
prakash_sah94@gmail.com,Prakash Sah,Male,ICSE,93.4,ISE,92.2,Computer Science,8.85,Yes,No,0,Yes,4,4,Placed,Software Developer,
ayushi_shukla9@gmail.com,Ayushi Shukla,Female,ICSE,85.6,ISE,86.4,Computer Science,7.8,Yes,Yes,0,Yes,4,1,Not Placed,Machine Learning Engineer,
nishant_dev95@gmail.com,Nishant Dev,Male,ICSE,94.6,ISE,79.6,Computer Science ,9.26,Yes,No,0,Yes,3,3,Placed,Full Stack Developer,
piyali_mishra80@gmail.com,Piyali Mishra,Female,WBBSE,79.6,CBSE,74.1,Artificial Intelligence and Data Science,7.01,No,Yes,1,Yes,5,3,Not Placed,Data Analyst,
suvankar_kar61@gmail.com,Suvankar Kar,Male,CBSE,73.8,CBSE,73.4,Artificial Intelligence and  Machine Learning,8.87,No,Yes,0,Yes,5,2,Placed,Data Analyst,
arpita_chakraborty84@gmail.com,Arpita Chakraborty,Female,CBSE,77.8,WBCHSE,94.3,Artificial Intelligence And Machine Learning,9,Yes,Yes,0,No,4,1,Placed,AI Engineer,
